Age,Gender,Location,Marital Status,Household Income,Family Members,Education Level,Plan Type,Subscription Duration (months),Monthly Charges,Data Usage (GB),Voice Minutes Usage,SMS Usage,Feedback Score,Interactions with Customer Service,Complaints Reported,Churn Label,Pref_Comm_Channel,Pref_Comm_Time,Pref_Services_Features,Pref_Payment_Method,distance_to_ideal,distance_to_negative_ideal,relative_closeness,rank,BestService,BestServiceName,Customer ID
0.6229508196721312,Male,Miami,Single,0.13881705040968856,0.5,High School,Prepaid,0.9999999999999999,0.6638655462184874,0.7916666666666666,0.9308707124010555,0.1901840490797546,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01856408118046521,0.020267221944681224,0.521929997542538,433.5,1,Standard Plan,1
0.836065573770492,Male,New York,Widowed,0.030883571446506164,0.25,Associate's,Postpaid,0.27586206896551724,0.865546218487395,0.5833333333333333,0.12612137203166227,0.8732106339468304,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.01595310907472703,0.021898768918395983,0.5785385053384824,294.0,1,Standard Plan,2
0.459016393442623,Female,Chicago,Single,0.9752010779956646,0.0,Bachelor's,Prepaid,0.5862068965517241,0.2941176470588235,0.5208333333333333,0.19102902374670183,0.09611451942740287,1.0,0.5,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.02541512169994759,0.009248697978247298,0.2668112765444931,937.0,3,Ultimate Plan,3
0.2295081967213115,Male,Los Angeles,Widowed,0.14185519036499528,0.25,Associate's,Prepaid,0.8103448275862069,0.20168067226890757,0.4166666666666667,0.43324538258575196,0.48875255623721886,0.75,0.25,0.5,1.0,0.0,0.6666666666666667,0.0,0.6666666666666667,0.017497055442020203,0.014692699239032167,0.45644023648557436,611.0,2,Premium Plan,4
0.6885245901639345,Male,Chicago,Married,0.10434294992509269,1.0,High School,Prepaid,0.06896551724137931,0.7226890756302521,0.3333333333333333,0.7451187335092349,0.7075664621676893,0.0,0.75,0.5,1.0,0.0,0.0,1.0,0.3333333333333333,0.013309166861896987,0.02070197334347094,0.6086821323386148,238.0,0,Basic Plan,5
0.11475409836065575,Female,Miami,Divorced,0.26112101505678725,0.75,High School,Postpaid,0.8103448275862069,0.6302521008403361,0.3125,0.8844327176781003,0.4335378323108385,0.75,0.5,1.0,0.0,1.0,1.0,1.0,0.6666666666666667,0.01703287604699803,0.018067368832983474,0.5147362616631691,462.0,1,Standard Plan,6
0.9836065573770493,Male,Los Angeles,Married,0.04472677664231134,1.0,Master's,Postpaid,0.5344827586206896,0.8151260504201681,0.6249999999999999,0.3519788918205805,0.8895705521472393,1.0,0.25,0.5,1.0,0.5,0.6666666666666667,0.5,0.3333333333333333,0.012389932586750035,0.02314666974077731,0.651347293346822,159.0,0,Basic Plan,7
0.3278688524590164,Male,Houston,Widowed,0.5456516098793951,0.75,Bachelor's,Prepaid,0.034482758620689655,0.2941176470588235,0.16666666666666666,0.6976253298153035,0.6932515337423314,0.25,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666667,0.01594097557542047,0.019455448344432972,0.5496444609343895,350.0,1,Standard Plan,8
0.6229508196721312,Male,Chicago,Divorced,0.7733698244909233,1.0,Bachelor's,Prepaid,0.8793103448275862,0.8403361344537814,0.6249999999999999,0.992084432717678,0.6605316973415134,1.0,0.75,0.5,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.009761968270341113,0.024129189921288374,0.7119612078423408,87.0,0,Basic Plan,9
0.9344262295081968,Male,Los Angeles,Widowed,0.7378411630301052,0.5,High School,Postpaid,0.793103448275862,0.5546218487394958,0.2708333333333333,0.7356200527704485,0.28220858895705525,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.0,0.020466257280753786,0.01420703264471052,0.4097399662752157,716.0,2,Premium Plan,10
0.29508196721311475,Male,Chicago,Divorced,0.4252893765535943,0.25,Bachelor's,Prepaid,0.5862068965517241,0.0672268907563025,0.9999999999999999,0.05171503957783641,0.4171779141104295,1.0,1.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.020207417033683416,0.018749051819487553,0.48128211748743804,543.0,2,Premium Plan,11
0.3606557377049181,Female,Los Angeles,Divorced,0.0445677555427223,0.75,Master's,Prepaid,0.8793103448275862,0.5042016806722689,0.7499999999999999,0.024274406332453827,0.7770961145194275,0.25,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.017083440719861405,0.0212983737471483,0.5549079438507233,336.0,1,Standard Plan,12
